"","continent_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","continent","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Africa",1985-02-14,1,1,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"2","Africa",1985-02-21,1,0,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"3","Africa",1985-02-28,3,2,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"4","Africa",1985-03-06,43,40,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"5","Africa",1985-03-13,176,133,5,5,0,0,"Africa",1.2e+09,0.1,0.1,0,0
"6","Africa",1985-03-20,968,792,26,21,0,1,"Africa",1.2e+09,0.8,0.7,0,0
"7","Africa",1985-03-27,3885,2917,115,89,1,2,"Africa",1.2e+09,3.2,2.4,0.1,0.1
"8","Africa",1985-04-03,7913,4028,331,216,2,3,"Africa",1.2e+09,6.6,3.4,0.3,0.2
"9","Africa",1985-04-10,12911,4998,693,362,3,4,"Africa",1.2e+09,10.8,4.2,0.6,0.3
"10","Africa",1985-04-17,19766,6855,1016,323,4,5,"Africa",1.2e+09,16.5,5.7,0.8,0.3
"11","Africa",1985-04-24,29068,9302,1324,308,5,6,"Africa",1.2e+09,24.2,7.8,1.1,0.3
"12","Africa",1985-05-01,40479,11411,1692,368,6,7,"Africa",1.2e+09,33.7,9.5,1.4,0.3
"13","Africa",1985-05-08,57657,17184,2154,462,7,8,"Africa",1.2e+09,48,14.3,1.8,0.4
"14","Africa",1985-05-15,78274,20617,2624,470,8,9,"Africa",1.2e+09,65.2,17.2,2.2,0.4
"15","Africa",1985-05-22,103629,25587,3184,560,9,10,"Africa",1.2e+09,86.4,21.3,2.7,0.5
"16","Africa",1985-05-29,135191,31562,3922,738,10,11,"Africa",1.2e+09,112.7,26.3,3.3,0.6
"17","Africa",1985-06-05,176618,41427,4915,993,11,12,"Africa",1.2e+09,147.2,34.5,4.1,0.8
"18","Africa",1985-06-12,224695,48077,6050,1135,12,13,"Africa",1.2e+09,187.2,40.1,5,0.9
"19","Africa",1985-06-19,285609,60914,7682,1632,13,14,"Africa",1.2e+09,238,50.8,6.4,1.4
"20","Africa",1985-06-26,359306,73697,9282,1600,14,15,"Africa",1.2e+09,299.4,61.4,7.7,1.3
"21","Africa",1985-07-03,447480,88174,10882,1600,15,16,"Africa",1.2e+09,372.9,73.5,9.1,1.3
"22","Africa",1985-07-10,559436,111956,12768,1886,16,17,"Africa",1.2e+09,466.2,93.3,10.6,1.6
"23","Africa",1985-07-17,683483,124047,14673,1905,17,18,"Africa",1.2e+09,569.6,103.4,12.2,1.6
"24","Africa",1985-07-24,810633,127150,17104,2431,18,19,"Africa",1.2e+09,675.5,106,14.3,2
