"","global_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Global",1985-01-22,557,557,17,17,0,0,7.6e+09,0.1,0.1,0,0
"2","Global",1985-01-24,941,384,26,9,1,1,7.6e+09,0.1,0.1,0,0
"3","Global",1985-01-31,9927,8986,213,187,2,2,7.6e+09,1.3,1.2,0,0
"4","Global",1985-02-07,34396,24469,719,506,3,3,7.6e+09,4.5,3.2,0.1,0.1
"5","Global",1985-02-14,66909,32513,1523,804,4,4,7.6e+09,8.8,4.3,0.2,0.1
"6","Global",1985-02-21,76841,9932,2252,729,5,5,7.6e+09,10.1,1.3,0.3,0.1
"7","Global",1985-02-28,84122,7281,2873,621,6,6,7.6e+09,11.1,1,0.4,0.1
"8","Global",1985-03-06,102003,17881,3460,587,7,7,7.6e+09,13.4,2.4,0.5,0.1
"9","Global",1985-03-13,146876,44873,5413,1953,8,8,7.6e+09,19.3,5.9,0.7,0.3
"10","Global",1985-03-20,277359,130483,11470,6057,9,9,7.6e+09,36.5,17.2,1.5,0.8
"11","Global",1985-03-27,607138,329781,28449,16980,10,10,7.6e+09,79.9,43.4,3.7,2.2
"12","Global",1985-04-03,1125221,518083,62573,34124,11,11,7.6e+09,148.1,68.2,8.2,4.5
"13","Global",1985-04-10,1655088,537719,109844,47272,12,12,7.6e+09,217.8,70.8,14.5,6.2
"14","Global",1985-04-17,2264462,609374,158936,49092,13,13,7.6e+09,298,80.2,20.9,6.5
"15","Global",1985-04-24,2819666,555204,203920,44984,14,14,7.6e+09,371,73.1,26.8,5.9
"16","Global",1985-05-01,3368226,548560,242568,38648,15,15,7.6e+09,443.2,72.2,31.9,5.1
"17","Global",1985-05-08,3951003,582783,278976,36408,16,16,7.6e+09,519.9,76.7,36.7,4.8
"18","Global",1985-05-15,4549267,598264,311253,32277,17,17,7.6e+09,598.6,78.7,41,4.2
"19","Global",1985-05-22,5222614,673579,341708,30455,18,18,7.6e+09,687.2,88.6,45,4
"20","Global",1985-05-29,5945261,722647,368320,28119,19,19,7.6e+09,782.3,95.1,48.5,3.7
"21","Global",1985-06-05,6782559,837298,397830,29511,20,20,7.6e+09,892.4,110.2,52.3,3.9
"22","Global",1985-06-12,7658106,875547,426707,28877,21,21,7.6e+09,1007.6,115.2,56.1,3.8
"23","Global",1985-06-19,8652145,994039,460472,33765,22,22,7.6e+09,1138.4,130.8,60.6,4.4
"24","Global",1985-06-26,9786037,1133892,491989,31517,23,23,7.6e+09,1287.6,149.2,64.7,4.1
"25","Global",1985-07-03,11086866,1300829,523128,31139,24,24,7.6e+09,1458.8,171.2,68.8,4.1
"26","Global",1985-07-10,12513675,1426809,556814,33687,25,25,7.6e+09,1646.5,187.7,73.3,4.4
"27","Global",1985-07-17,14061585,1547910,593013,36200,26,26,7.6e+09,1850.2,203.7,78,4.8
"28","Global",1985-07-24,15795790,1734268,635936,42923,27,27,7.6e+09,2078.4,228.2,83.7,5.6
"29","Global",1985-07-31,17604767,1808977,675509,39573,28,28,7.6e+09,2316.4,238,88.9,5.2
