"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"19","Afghanistan",1986-05-07,69,61455,1710,2673,48,1578.7,43.9,68.7,1.2,57,56
"95","Albania",1986-05-07,69,131577,492,2408,14,45718.2,171,836.7,4.9,58,57
"130","Algeria",1986-05-07,69,123692,1584,3315,62,2820.7,36.1,75.6,1.4,58,59
"228","Andorra",1986-05-07,69,13390,158,127,2,173896.1,2051.9,1649.4,26,58,57
"284","Angola",1986-05-07,69,28201,1549,628,32,858.1,47.1,19.1,1,47,45
"330","Antigua and Barbuda",1986-05-07,69,1232,0,32,0,12571.4,0,326.5,0,31,11
"383","Argentina",1986-05-07,69,3118134,140771,66872,3007,68991.4,3114.7,1479.6,66.5,59,58
"448","Armenia",1986-05-07,69,218681,2617,4209,101,73803.9,883.2,1420.5,34.1,59,56
"549","Australia",1986-05-07,69,29906,95,910,0,1172.8,3.7,35.7,0,60,58
"612","Austria",1986-05-07,69,628817,9947,10351,146,69822,1104.5,1149.3,16.2,60,58
"656","Azerbaijan",1986-05-07,69,325407,6298,4650,133,32094.6,621.2,458.6,13.1,58,56
"729","Bahrain",1986-05-07,69,186403,9469,674,28,109520,5563.5,396,16.5,60,51
"798","Bangladesh",1986-05-07,69,770842,11710,11833,383,4680.6,71.1,71.9,2.3,56,56
"830","Barbados",1986-05-07,69,3931,76,45,1,13696.9,264.8,156.8,3.5,42,14
"923","Belarus",1986-05-07,69,366305,7567,2612,70,38766.5,800.8,276.4,7.4,57,56
"963","Belgium",1986-05-07,69,1010987,20758,24483,253,87229.2,1791,2112.4,21.8,61,59
"1042","Belize",1986-05-07,69,12686,18,323,0,31874.4,45.2,811.6,0,39,36
"1090","Benin",1986-05-07,69,7884,63,100,1,650.3,5.2,8.2,0.1,52,46
"1158","Bhutan",1986-05-07,69,1190,116,1,0,1541.5,150.3,1.3,0,40,0
"1190","Bolivia",1986-05-07,69,314190,10458,13151,200,26916,895.9,1126.6,17.1,57,56
"1283","Bosnia and Herzegovina",1986-05-07,69,200693,2232,8790,239,61168.2,680.3,2679.1,72.8,58,57
"1350","Botswana",1986-05-07,69,48417,1483,734,22,20585.5,630.5,312.1,9.4,44,34
"1381","Brazil",1986-05-07,69,15082449,423438,419114,15333,70956.5,1992.1,1971.8,72.1,60,59
